Rank,Title,Year,Domestic Gross (₦),Studio(s),Director(s)
1,Omo Ghetto: The Saga,2020,636129120,SceneOne Productions,Funke Akindele
2,The Wedding Party,2016,452288605,Ebonylife Films / FilmOne / Inkblot Production / Koga Studios,Kemi Adetiba
3,The Wedding Party 2,2017,433197377,Ebonylife Films / FilmOne / Inkblot Production / Koga Studios,Niyi Akinmolayan
4,Chief Daddy,2018,387540749,EbonyLife Films,Niyi Akinmolayan
5,King of Thieves,2022,315513250,Euphoria360 Media / Anthill Studios,"Tope Adebayo, Adebayo Tijani"
6,Sugar Rush,2019,287053270,GreOH Media / Jungle Filmworks / Empire Mates Entertainment,Kayode Kasum
7,Christmas in Miami,2021,265583000,Corporate World Pictures,Robert Peters
8,King of Boys,2018,244775758,Kemi Adetiba Visuals,Kemi Adetiba
9,Merry Men: The Real Yoruba Demons,2018,235628358,Corporate World Entertainment / FilmOne / Gush Media,Toka Mcbaror
10,Merry Men 2: Another Mission,2019,234505169,Corporate World Entertainment / Gush Media / FilmOne,Moses Inwang
11,Your Excellency,2019,186340948,EbonyLife Films,Funke Akindele
12,A Trip to Jamaica,2016,180264964,Corporate World Pictures,Robert Peters
13,10 Days in Sun City,2017,176705669,Corporate World Pictures,Adze Ugha
14,Living in Bondage: Breaking Free,2019,168770202,Play Entertainment Network/Michelangelo Productions/Natives Filmworks,Ramsey Nouah
15,30 Days in Atlanta,2014,163351300,Corporate World Pictures,Robert Peters
16,Aki & Pawpaw,2021,136379049,Play network studios and Film One,Biodun Stephens
17,The Ghost and The Tout Too,2021,134408075,Toyin Abraham Production,Ama Psalmist
18,Prophetess,2021,131441252,Anthill Studios,Niyi Akinmolayan
19,Bling Lagosians,2019,120135139,Film One,Bolanle Austen-Peters
20,Fate of Alakada: The Party Planner,2020,113226100,FilmOne,Kayode Kasum
21,My Village People,2021,100958400,Kountry Koulture Productions,Niyi Akinmolayan
22,Up North,2018,94006142,Anakle Films / Inkblot Production,Tope Oshin
23,Isoken,2017,93697726,Tribe 85,Jadesola Osiberu
24,Quam's Money,2020,92100070,"Inkblot Productions, House 21 and FilmOne",Kayode Kasum
25,Ayinla,2021,91470900,Mainframe Studios,Tunde Kelani
26,Okafor's Law,2017,89740576,Dioni Visions,Omoni Oboli
27,Breaded Life,2021,88860057,Shutter Speed Projects,Biodun Stephens
28,Fifty,2015,80030500,EbonyLife Films,Biyi Bandele
29,The Ghost and the Tout,2018,77233105,Toyin Abraham Productions,Charles Uwagbai
30,Alakada Reloaded,2017,74331349,Toyin Abraham Productions,Toyin Abraham
31,'76,2016,72400000,Adonis Productions / Princewill's Trust,Izu Ojukwu
32,Rattlesnake: The Ahanna Story,2020,70815150,Play Entertainment Network/FilmOne Entertainment,Ramsey Nouah
33,My Wife and I,2017,67882573,Inklobot Productions,Bunmi Ajakaiye
34,Superstar,2021,67132500,Inkblot and Filmone,Akhigbe Ilozobhie
35,Wives on Strike,2016,66753162,Dioni Visions,Omoni Oboli
36,Bad Comments,2021,66584531,Elrab Entertainment,Moses Inwang
37,Moms at War,2018,65000000,Dioni Visions,Omoni Oboli
38,Half of a Yellow Sun,2013,60000000,Shareman Media / Slate Films,Biyi Bandele
38,October 1,2014,60000000,Golden Effects,Kunle Afolayan
38,The CEO,2016,60000000,Golden Effects,Kunle Afolayan
38,Banana Island Ghost,2017,60000000,Biola Alabi Media / Nemsia Productions,BB Sasore
42,Ijé,2010,59800000,Xandria Productions,Chineze Anyaene
43,The Royal Hibiscus Hotel,2018,59000000,Ebonylife Films,Ishaya Bako
44,Last Flight to Abuja,2012,57050000,The Nollywood Factory,Obi Emelonye
45,It's Her Day,2016,55021150,Kountry Kulture Network,Aniedi Anwah
46,Dinner at My Place,2022,54445189,Duku Pictures,Kevin Apaa
47,The Set Up,2019,53305115,Anakle Films / Inkblot Production,Niyi Akinmolayan
48,Soole,2021,51006700,Lau Ellen Clara studio,Kayode Kasum
49,93 Days,2016,50505000,Native FilmWorks / Michel Angelo Production / Bolanle Austen-Peters Production,Steve Gukas
50,Nneka The Pretty Serpent,2020,50051510,Play Entertainment Network,Tosin Igho
51,Omugwo,2017,48000000,Golden Effects / Africa Magic,Kunle Afolayan
52,Mokalik,2019,46929446,Golden Effects / Africa Magic,Kunle Afolayan
53,Hire A Man,2017,45000000,ChinneyLove Eze Productions,Desmond Elliot
54,Lagos Real Fake Life,2018,44194075,Swift Angel Production,Mike Ezuruonye
55,The Vendor,2018,44000000,Odunlade Adekola Film Production,Odunlade Adekola
56,Dwindle,2021,43924110,Film One,Kayode Kasum
57,The Blood Covenant,2022,43122100,Inkblot Productions,Flyin Gambo
58,Devil In Agbada,2021,42583250,Chinney Love Eze productions,Umanu Elijah
59,Mamba's Diamond,2021,42187005,Williams Uchemba Productions,Seyi Babatope
60,American Driver,2017,41000000,Sneeze Films / Golden Icons Media / Get Known Productions,Moses Inwang
60,New Money,2018,41000000,Inkblot Productions,Tope Oshin
62,Lockdown,2021,40070651,CEM Media Group,Moses Inwang
63,Dear Affy,2020,39688140,Film One Entertainment,Samuel Olatunji
64,Who's The Boss,2020,38559547,Inkblot Productions and Accelerate TV,Chinaza Onuzu
65,The Wild Flower,2022,38513655,VSL MEDIA,Biodun Stephen
66,God Calling,2018,36822319,Hearts in Motion Studios,BB Sasore
67,The Return of Jenifa,2012,35000000,Olasco Films,Muhydeen S. Ayinde
68,A Simple Lie,2022,33701600,Shutter Speed Projects,Biodun Stephen
69,Seven and a Half Dates,2018,33000000,,Biodun Stephen
